City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Hobyo,SO,5.35,48.53,80.58,68,100,23.87
Ishigaki,JP,24.34,124.16,89.6,75,75,19.46
Hindoria,IN,23.9,79.57,93.94,41,91,9.75
Isla Mujeres,MX,21.23,-86.73,77.94,88,75,11.41
Naīgarhi,IN,24.78,81.78,88.57,63,81,7.34
Opuwo,NA,-18.06,13.84,52.47,62,0,8.01
Manoel Urbano,BR,-8.84,-69.26,71.71,78,0,1.16
Arrondissement de Morlaix,FR,48.58,-4.0,53.6,100,90,3.36
Guangshui,CN,31.62,114.0,84.43,78,95,5.84
Yegorlykskaya,RU,46.57,40.66,69.48,70,73,9.66
Armidale,AU,-30.52,151.65,54.0,53,0,8.99
Djenné,ML,13.91,-4.55,86.85,38,83,8.86
Sindor,RU,62.86,51.89,46.71,54,7,7.2
Dingle,PH,11.0,122.67,90.45,53,99,5.32
Hamilton,US,39.18,-84.53,65.59,77,1,3.94
Erzincan Province,TR,39.75,39.5,59.0,77,0,1.5
Halifax,CA,44.65,-63.57,51.66,66,5,8.05
Auki,SB,-8.77,160.7,83.26,75,100,4.68
Sumbe,AO,-11.21,13.84,70.75,74,0,4.32
Rehoboth,NA,-23.32,17.08,35.91,65,0,3.36
Kysyl-Syr,RU,63.9,122.76,78.39,36,1,10.09
Prata,BR,-19.31,-48.92,64.62,73,35,7.74
Yangcun,CN,39.36,117.06,86.0,28,90,13.42
Bajil,YE,15.06,43.29,86.76,66,59,6.11
San Vicente,AR,-26.62,-54.13,63.0,86,46,5.73
Alangāyam,IN,12.6,78.75,85.5,51,100,11.32
Tuatapere,NZ,-46.13,167.68,47.43,78,100,4.43
Baghdad,IQ,33.34,44.4,78.8,50,0,8.05
Westport,US,41.14,-73.36,61.92,88,1,5.82
Longyearbyen,SJ,78.22,15.64,37.4,69,75,9.17
Tezu,IN,27.92,96.17,77.67,87,98,0.94
Peştişani,RO,45.07,23.03,61.36,82,100,1.7
Saint-Ambroise,CA,48.55,-71.33,69.8,40,20,10.29
Ballina,AU,-28.87,153.57,67.39,68,75,13.87
Zeya,RU,53.75,127.27,71.83,30,4,6.91
Qasigiannguit,GL,68.82,-51.19,35.6,80,54,3.36
Samaná,DO,19.21,-69.34,78.91,83,95,8.75
Iquique,CL,-20.22,-70.14,62.6,67,90,6.93
Sørland,NO,67.67,12.69,51.4,77,0,10.87
Kidal,ML,18.44,1.41,88.93,12,0,10.29
Wewak,PG,-3.55,143.63,80.49,79,100,1.88
Novichikha,RU,52.2,81.39,65.21,56,55,14.52
Khor,RU,47.89,134.95,58.66,81,95,10.76
Hirara,JP,24.8,125.28,88.86,70,40,19.46
Bogense,DK,55.57,10.09,56.17,93,58,1.12
Lebyazh'ye,RU,55.27,66.49,68.76,63,74,9.26
Hede,CN,33.77,120.25,65.16,91,100,19.42
Clyde River,CA,70.47,-68.59,37.4,88,90,3.36
Launceston,AU,-41.45,147.17,50.5,50,0,8.05
Lancaster,US,40.25,-76.25,61.81,59,1,4.7
Coyhaique,CL,-45.58,-72.07,35.6,100,20,3.36
Mossamedes,AO,-15.2,12.15,70.74,54,0,5.26
Maumere,ID,-8.62,122.21,85.32,61,37,8.63
Nola,IT,40.92,14.53,63.68,82,40,4.7
Zabaykal'sk,RU,49.63,117.32,82.44,31,67,9.22
Moerai,PF,-22.43,-151.33,72.12,80,92,31.34
Prado,BR,-17.34,-39.22,72.0,88,97,15.01
Punta Alta,AR,-38.88,-62.07,53.47,69,100,9.22
Rio Tuba,PH,8.51,117.43,86.22,68,69,10.0
Aberdeen,GB,57.14,-2.1,52.81,100,95,2.24
Sur,OM,22.57,59.53,96.31,35,94,5.99
Deniliquin,AU,-35.53,144.97,62.01,50,98,3.71
Penalva,BR,-3.29,-45.17,72.73,96,0,1.14
Nanortalik,GL,60.14,-45.24,37.06,84,32,8.46
Leshukonskoye,RU,64.9,45.76,47.28,54,57,7.34
Zharkent,KZ,44.16,80.0,79.27,35,100,11.52
Torrington,US,41.8,-73.12,55.4,94,50,0.45
Isangel,VU,-19.55,169.27,80.6,74,75,13.87
Jambi City,ID,-1.6,103.62,81.37,88,76,2.93
Doliana,GR,39.9,20.58,55.4,93,25,2.08
Savannah Bight,HN,16.45,-85.85,82.98,76,100,19.22
Andenes,NO,69.31,16.12,46.4,87,32,14.99
Bouna,CI,9.27,-3.0,73.87,95,99,5.75
Todos Santos,MX,23.45,-110.22,68.0,86,77,6.6
Flagstaff,US,35.2,-111.65,64.87,17,1,19.46
Bandarbeyla,SO,9.49,50.81,84.7,54,100,31.16
Elko,US,41.0,-115.5,51.75,47,75,9.17
Prabumulih,ID,-3.45,104.25,88.05,59,12,5.21
Kāvali,IN,14.92,79.98,91.29,50,100,16.42
Brewster,US,41.4,-73.62,56.41,87,1,3.36
Deputatsky,RU,69.3,139.9,71.92,40,82,12.28
Chinsali,ZM,-10.54,32.08,49.32,76,0,7.29
Egvekinot,RU,66.32,-179.17,61.88,31,2,2.8
Clyde,US,41.3,-82.98,62.69,65,0,5.48
San Francisco,US,37.77,-122.42,60.67,67,20,16.11
Grindavik,IS,63.84,-22.43,44.6,81,75,9.17
Mandalgovi,MN,45.76,106.27,70.97,41,0,23.8
Acajutla,SV,13.59,-89.83,71.01,100,100,9.22
Kupang,ID,-10.17,123.58,89.6,49,20,21.92
Lázaro Cárdenas,MX,17.96,-102.2,79.63,80,0,3.58
Garoowe,SO,8.41,48.48,78.62,59,69,30.4
Caravelas,BR,-17.71,-39.25,71.82,84,100,13.53
Arman',RU,59.7,150.17,59.76,55,51,9.19
Shulan,CN,44.42,126.95,80.28,47,25,7.7
Praia,CV,14.92,-23.51,78.8,88,20,4.7
Hastings,GB,50.86,0.57,55.96,100,90,3.36
Bell Ville,AR,-32.63,-62.69,72.32,68,100,14.83
Alexandria,EG,31.22,29.96,75.4,48,0,11.59
Ilām,NP,26.92,87.92,70.23,85,97,1.68
Alice Springs,AU,-23.7,133.88,64.4,23,0,13.87
Meadow Lake,US,34.8,-106.54,73.27,21,40,11.41
San Andrés,CO,12.58,-81.7,80.6,88,90,4.7
Juegang,CN,32.32,121.19,73.99,95,100,19.06
Chumikan,RU,54.72,135.31,40.75,94,100,4.25
Mehamn,NO,71.04,27.85,42.8,75,75,4.7
Ridgecrest,US,35.62,-117.67,78.94,20,1,20.8
Ratne,UA,51.67,24.53,62.6,88,56,4.47
Vestmanna,FO,62.16,-7.17,48.2,87,100,20.8
Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.71,88,99,9.55
Ennis,IE,52.84,-8.99,51.8,93,75,2.24
Kaniama,CD,-7.57,24.18,58.6,57,0,5.53
Aswān,EG,24.09,32.91,81.37,20,0,7.87
Sinjār,IQ,36.32,41.88,78.82,41,0,4.72
Kharhiāl,IN,20.28,82.77,83.98,69,88,10.78
Ust-Nera,RU,64.57,143.2,75.81,27,41,2.71
Zalţan,LY,32.95,11.87,75.92,30,0,13.35
Noyabrsk,RU,63.2,75.45,47.66,92,100,15.08
Chūru,IN,28.3,74.95,105.15,10,3,10.29
Puquio,PE,-14.7,-74.13,48.34,54,1,3.04
Elizabeth City,US,36.29,-76.25,65.28,100,90,16.11
Terrace,CA,54.52,-128.6,59.0,54,75,6.93
